datetime,HVAC
08/24/22 0:00,-0.018141951
08/24/22 1:00,0.02847651
08/24/22 2:00,-0.049892005
08/24/22 3:00,0.073894225
08/24/22 4:00,-0.0876414
08/24/22 5:00,-0.026707388
08/24/22 6:00,0.07980024
08/24/22 7:00,-0.07547869
08/24/22 8:00,0.08585302
08/24/22 9:00,0.014460046
08/24/22 10:00,-0.002095729
08/24/22 11:00,-0.007377725
08/24/22 12:00,0.0034034662
08/24/22 13:00,0.021303229
08/24/22 14:00,-0.0820507
08/24/22 15:00,0.16675664
08/24/22 16:00,0.4358435
08/24/22 17:00,-0.036449373
08/24/22 18:00,0.37118465
08/24/22 19:00,0.44182685
08/24/22 20:00,0.43853924
08/24/22 21:00,-0.085334636
08/24/22 22:00,-0.005828889
08/24/22 23:00,-0.007114157
