datetime,Net_Total,HVAC
02/08/22 0:00,1.557100000000006,1.0515327
02/08/22 1:00,1.4126000000000059,1.1157664
02/08/22 2:00,1.535199999999997,1.2573314
02/08/22 3:00,1.5515999999999912,1.2943137
02/08/22 4:00,1.5039000000000087,0.97077185
02/08/22 5:00,1.9005999999999912,1.0977012
02/08/22 6:00,4.655900000000009,1.0188528
02/08/22 7:00,5.022199999999997,0.8940956
02/08/22 8:00,1.739,0.94844735
02/08/22 9:00,1.58,0.78664964
02/08/22 10:00,1.905,0.8404683
02/08/22 11:00,1.236,0.74155277
02/08/22 12:00,0.958,0.4159704
02/08/22 13:00,1.278,0.25474483
02/08/22 14:00,0.763,0.243901
02/08/22 15:00,0.638,0.10475971
02/08/22 16:00,1.263,0.23599139
02/08/22 17:00,1.046,0.5244841
02/08/22 18:00,2.944,0.60607755
02/08/22 19:00,1.512,0.71581745
02/08/22 20:00,1.602,0.80228186
02/08/22 21:00,1.457,0.67139804
02/08/22 22:00,1.442,0.9130728
02/08/22 23:00,1.406,0.8559205
