datetime,HVAC
08/24/22 0:00,0.020857757
08/24/22 1:00,-0.006500289
08/24/22 2:00,0.036335193
08/24/22 3:00,0.055724636
08/24/22 4:00,0.060535077
08/24/22 5:00,0.19775149
08/24/22 6:00,0.8643837
08/24/22 7:00,0.46119905
08/24/22 8:00,0.35541973
08/24/22 9:00,-0.053306542
08/24/22 10:00,0.024827689
08/24/22 11:00,0.0059800968
08/24/22 12:00,0.008130804
08/24/22 13:00,-0.018336503
08/24/22 14:00,-0.047755584
08/24/22 15:00,0.04112308
08/24/22 16:00,0.88512135
08/24/22 17:00,1.3114457
08/24/22 18:00,0.9884194
08/24/22 19:00,0.86285734
08/24/22 20:00,0.4398771
08/24/22 21:00,0.26041004
08/24/22 22:00,-0.027805422
08/24/22 23:00,-0.029973954
