datetime,Net_Total,HVAC
04/05/22 0:00,2.152,1.7755629
04/05/22 1:00,2.263,2.1639104
04/05/22 2:00,2.373,2.3131182
04/05/22 3:00,2.426,2.3212373
04/05/22 4:00,2.961,2.7374299
04/05/22 5:00,2.7,2.4473495
04/05/22 6:00,3.162,2.7227452
04/05/22 7:00,2.994,2.6691947
04/05/22 8:00,5.809,2.5587354
04/05/22 9:00,3.687,1.8205407
04/05/22 10:00,1.299,0.9302905
04/05/22 11:00,0.926,0.7698046
04/05/22 12:00,0.288,-0.009617599
04/05/22 13:00,0.289,-0.053966727
04/05/22 14:00,0.288,0.047999207
04/05/22 15:00,0.288,0.11204624
04/05/22 16:00,0.288,-0.036010444
04/05/22 17:00,1.731,-0.008905783
04/05/22 18:00,1.769,0.00016889838
04/05/22 19:00,3.453,0.07709762
04/05/22 20:00,0.432,0.0022746497
04/05/22 21:00,0.432,-0.0048148553
04/05/22 22:00,0.288,-0.0057593724
04/05/22 23:00,0.289,-0.027616879
