datetime,Net_Total,HVAC
02/08/22 0:00,2.896,2.6178575
02/08/22 1:00,3.213,2.8856797
02/08/22 2:00,3.223,3.076077
02/08/22 3:00,3.762,3.6515398
02/08/22 4:00,3.327,3.0683687
02/08/22 5:00,3.243,2.8879051
02/08/22 6:00,2.897,2.3615246
02/08/22 7:00,3.406,2.9432344
02/08/22 8:00,6.101,2.666852
02/08/22 9:00,4.532,2.7951238
02/08/22 10:00,2.5,2.2717257
02/08/22 11:00,2.377,2.1653833
02/08/22 12:00,2.077,1.6892111
02/08/22 13:00,1.359,1.2775909
02/08/22 14:00,1.009,0.7976532
02/08/22 15:00,0.936,0.69356316
02/08/22 16:00,1.32,0.9167549
02/08/22 17:00,3.305,1.6480725
02/08/22 18:00,3.701,2.0167594
02/08/22 19:00,5.738,2.2239766
02/08/22 20:00,2.871,2.3638563
02/08/22 21:00,2.724,2.2668004
02/08/22 22:00,2.679,2.443829
02/08/22 23:00,2.711,2.3270462
