datetime,Net_Total,HVAC
02/08/22 0:00,3.126,2.4097905
02/08/22 1:00,3.269,2.9459004
02/08/22 2:00,2.876,2.6812444
02/08/22 3:00,3.619,3.4801846
02/08/22 4:00,2.934,2.1821544
02/08/22 5:00,3.511,2.9805431
02/08/22 6:00,2.961,2.3368585
02/08/22 7:00,4.721,2.3062148
02/08/22 8:00,4.115,2.2367454
02/08/22 9:00,3.113,2.2538636
02/08/22 10:00,3.416,2.2414699
02/08/22 11:00,2.885,1.625028
02/08/22 12:00,1.864,1.2706373
02/08/22 13:00,1.912,0.6672549
02/08/22 14:00,1.864,0.5155682
02/08/22 15:00,1.197,0.73730063
02/08/22 16:00,1.86,0.61374754
02/08/22 17:00,2.335,1.1108762
02/08/22 18:00,2.45,1.9554636
02/08/22 19:00,5.841,1.6545016
02/08/22 20:00,4.565,2.2426364
02/08/22 21:00,2.652,1.710057
02/08/22 22:00,2.701,2.1662083
02/08/22 23:00,4.019,2.467798
