datetime,Net_Total,HVAC
02/08/22 0:00,3.408,2.7838864
02/08/22 1:00,3.143,2.8992617
02/08/22 2:00,3.531,3.0664005
02/08/22 3:00,3.619,3.2092304
02/08/22 4:00,3.45,2.8894627
02/08/22 5:00,3.306,2.6179006
02/08/22 6:00,3.275,2.6131322
02/08/22 7:00,3.176,2.0415304
02/08/22 8:00,6.285,1.9803976
02/08/22 9:00,4.631,1.9396533
02/08/22 10:00,2.634,1.9213364
02/08/22 11:00,2.417,1.3933265
02/08/22 12:00,1.897,1.0347401
02/08/22 13:00,1.114,0.4924673
02/08/22 14:00,1.1,0.43451208
02/08/22 15:00,1.571,0.10165476
02/08/22 16:00,1.098,0.4803719
02/08/22 17:00,2.412,1.0107763
02/08/22 18:00,4.517,1.571564
02/08/22 19:00,5.959,1.7039945
02/08/22 20:00,2.859,1.632029
02/08/22 21:00,2.544,1.5340714
02/08/22 22:00,2.869,2.1542993
02/08/22 23:00,2.885,2.352913
