datetime,Net_Total,UnControlAble_load,HVAC,WaterHeter,Dishwasher
09/08/22 0:00,0.7861000000000058,0.7861000000000058,0.0,0.0,0.0
09/08/22 1:00,0.39310000000000583,0.3675072910398303,0.025592709,0.0,0.0
09/08/22 2:00,1.818,0.483276050567627,1.334724,0.0,0.0
09/08/22 3:00,2.328199999999997,0.5327735120773287,1.7954265,0.0,0.0
09/08/22 4:00,2.411800000000003,0.5360426633834869,1.8757573,0.0,0.0
09/08/22 5:00,2.8687999999999882,0.8619454658508183,2.0068545,0.0,0.0
09/08/22 6:00,2.4479000000000086,0.7768043903350916,1.6710956,0.0,0.0
09/08/22 7:00,2.756099999999991,1.2979399572372348,1.45816,0.0,0.0
09/08/22 8:00,5.453100000000005,4.380063090896612,1.0730369,0.0,0.0
09/08/22 9:00,3.406,2.5740557131767274,0.8319443,0.0,0.0
09/08/22 10:00,0.787,0.787,0.0,0.0,0.0
09/08/22 11:00,0.786,0.7500375375747681,0.035962462,0.0,0.0
09/08/22 12:00,0.786,0.786,0.0,0.0,0.0
09/08/22 13:00,0.786,0.7392454758882523,0.046754524,0.0,0.0
09/08/22 14:00,0.786,0.786,0.0,0.0,0.0
09/08/22 15:00,1.271,1.2348895988464355,0.0361104,0.0,0.0
09/08/22 16:00,0.786,0.7758678064346314,0.010132194,0.0,0.0
09/08/22 17:00,1.688,1.4563817744255065,0.23161823,0.0,0.0
09/08/22 18:00,3.545,2.8489483428001403,0.69605166,0.0,0.0
09/08/22 19:00,5.268,4.2277747325897215,1.0402253,0.0,0.0
09/08/22 20:00,1.794,1.3207834067344666,0.4732166,0.0,0.0
09/08/22 21:00,1.179,1.179,0.0,0.0,0.0
09/08/22 22:00,0.786,0.786,0.0,0.0,0.0
09/08/22 23:00,0.787,0.7721265400648117,0.01487346,0.0,0.0
