datetime,Net_Total,HVAC
04/05/22 0:00,2.202,1.350959
04/05/22 1:00,1.959,1.5947618
04/05/22 2:00,2.538,2.2575831
04/05/22 3:00,2.633,2.2306952
04/05/22 4:00,3.17,2.4224176
04/05/22 5:00,2.728,2.042498
04/05/22 6:00,3.306,2.330777
04/05/22 7:00,2.995,1.9607258
04/05/22 8:00,6.195,1.5807434
04/05/22 9:00,3.882,1.105152
04/05/22 10:00,1.092,0.25453657
04/05/22 11:00,0.786,-0.03967684
04/05/22 12:00,0.786,-0.016998693
04/05/22 13:00,0.787,0.04887577
04/05/22 14:00,0.786,0.0071147084
04/05/22 15:00,1.271,-0.07625443
04/05/22 16:00,0.786,0.04960885
04/05/22 17:00,2.068,0.64130455
04/05/22 18:00,3.569,0.6571305
04/05/22 19:00,5.198,0.7480413
04/05/22 20:00,1.282,0.049894243
04/05/22 21:00,1.179,-0.120778054
04/05/22 22:00,0.786,0.044323087
04/05/22 23:00,0.786,0.07877478
