datetime,HVAC
08/24/22 0:00,0.06020187
08/24/22 1:00,0.015052758
08/24/22 2:00,0.9892634
08/24/22 3:00,1.8783749
08/24/22 4:00,1.5120373
08/24/22 5:00,1.2209136
08/24/22 6:00,2.047783
08/24/22 7:00,1.0489695
08/24/22 8:00,0.49166203
08/24/22 9:00,0.08009815
08/24/22 10:00,0.03173477
08/24/22 11:00,0.0003150478
08/24/22 12:00,-0.010688782
08/24/22 13:00,0.0110017555
08/24/22 14:00,-0.16114345
08/24/22 15:00,0.0010724366
08/24/22 16:00,0.049514025
08/24/22 17:00,0.4649949
08/24/22 18:00,1.0188617
08/24/22 19:00,1.0476998
08/24/22 20:00,0.54426223
08/24/22 21:00,0.13963982
08/24/22 22:00,-0.08302368
08/24/22 23:00,0.0006895289
