datetime,HVAC
08/24/22 0:00,0.013721669
08/24/22 1:00,-0.040402126
08/24/22 2:00,0.006070029
08/24/22 3:00,-0.056739867
08/24/22 4:00,-0.048885804
08/24/22 5:00,-0.045657806
08/24/22 6:00,0.013599563
08/24/22 7:00,0.09400749
08/24/22 8:00,0.050046466
08/24/22 9:00,0.040257826
08/24/22 10:00,-7.575378e-06
08/24/22 11:00,-0.0090214275
08/24/22 12:00,0.0036647618
08/24/22 13:00,0.0045601884
08/24/22 14:00,0.007903437
08/24/22 15:00,1.2948997
08/24/22 16:00,1.6596328
08/24/22 17:00,1.758047
08/24/22 18:00,1.7223845
08/24/22 19:00,1.1062188
08/24/22 20:00,0.4940535
08/24/22 21:00,-0.010915409
08/24/22 22:00,-0.01231452
08/24/22 23:00,0.044198707
