datetime,Net_Total,HVAC
02/08/22 0:00,1.7423999999999942,1.5054163
02/08/22 1:00,1.908,1.8695844
02/08/22 2:00,1.891,1.6422318
02/08/22 3:00,2.534,2.247813
02/08/22 4:00,1.994,1.7398431
02/08/22 5:00,2.002,1.859387
02/08/22 6:00,5.053,1.4880319
02/08/22 7:00,4.869,1.6174024
02/08/22 8:00,1.918,1.5644548
02/08/22 9:00,2.099,1.5873352
02/08/22 10:00,1.677,1.2601609
02/08/22 11:00,1.397,1.1923294
02/08/22 12:00,1.594,0.9760135
02/08/22 13:00,0.847,0.6147516
02/08/22 14:00,0.975,0.43365562
02/08/22 15:00,0.587,0.38905862
02/08/22 16:00,1.169,0.58929765
02/08/22 17:00,1.111,0.82815456
02/08/22 18:00,2.999,1.1712718
02/08/22 19:00,1.656,1.3605268
02/08/22 20:00,1.741,1.3466673
02/08/22 21:00,1.654,1.3749415
02/08/22 22:00,1.666,1.3775623
02/08/22 23:00,1.793,1.7198944
