datetime,HVAC
08/24/22 0:00,0.014934694
08/24/22 1:00,-0.04662542
08/24/22 2:00,-0.1173649
08/24/22 3:00,-0.094779894
08/24/22 4:00,-0.13847551
08/24/22 5:00,-0.07543739
08/24/22 6:00,0.6406011
08/24/22 7:00,0.029529188
08/24/22 8:00,0.47175646
08/24/22 9:00,0.047725767
08/24/22 10:00,0.036709838
08/24/22 11:00,0.0022624563
08/24/22 12:00,-0.0015038494
08/24/22 13:00,0.009934112
08/24/22 14:00,0.065247566
08/24/22 15:00,0.16919972
08/24/22 16:00,2.1658957
08/24/22 17:00,1.8426344
08/24/22 18:00,1.6003957
08/24/22 19:00,1.3533362
08/24/22 20:00,1.0455946
08/24/22 21:00,0.09929851
08/24/22 22:00,-0.036408763
08/24/22 23:00,-0.04588677
