datetime,Net_Total,UnControlAble_load,ControlAble_load,HVAC,WaterHeter,Dishwasher
05/15/22 0:00,0.7342999999999884,0.7342999999999884,0.0,0.0,0.0,0.0
05/15/22 1:00,0.2897000000000116,0.27260623724461763,0.017093762755393982,0.017093763,0.0,0.0
05/15/22 2:00,0.28969999999999707,0.2551370099306077,0.03456299006938934,0.03456299,0.0,0.0
05/15/22 3:00,1.436899999999994,0.2792824310302675,1.1576175689697266,1.1576176,0.0,0.0
05/15/22 4:00,1.9675,0.5956611919403076,1.3718388080596924,1.3718388,0.0,0.0
05/15/22 5:00,1.6871999999999971,0.6550713083267183,1.0321286916732788,1.0321287,0.0,0.0
05/15/22 6:00,2.1989000000000085,0.5836703933715905,1.615229606628418,1.6152296,0.0,0.0
05/15/22 7:00,3.6130999999999913,2.4975696283340367,1.1155303716659546,1.1155304,0.0,0.0
05/15/22 8:00,2.1151000000000058,1.7935434914588986,0.3215565085411072,0.3215565,0.0,0.0
05/15/22 9:00,0.8688999999999942,0.847772820734972,0.021127179265022278,0.02112718,0.0,0.0
05/15/22 10:00,1.2069000000000087,1.1751430550456134,0.031756944954395294,0.031756945,0.0,0.0
05/15/22 11:00,1.206800000000003,1.206800000000003,0.0,0.0,0.0,0.0
05/15/22 12:00,0.5792999999999884,0.5792999999999884,0.0,0.0,0.0,0.0
05/15/22 13:00,1.206800000000003,1.2051554426580697,0.0016445573419332504,0.0016445573,0.0,0.0
05/15/22 14:00,1.2069000000000087,1.2069000000000087,0.0,0.0,0.0,0.0
05/15/22 15:00,0.5792999999999884,0.5754138488724712,0.0038861511275172234,0.0038861511,0.0,0.0
05/15/22 16:00,1.2043000000000028,1.2043000000000028,0.0,0.0,0.0,0.0
05/15/22 17:00,1.231,1.15989541387558,0.07110458612442017,0.071104586,0.0,0.0
05/15/22 18:00,1.109199999999997,0.6589036576271028,0.4502963423728943,0.45029634,0.0,0.0
05/15/22 19:00,4.6756000000000055,4.247009225463873,0.4285907745361328,0.42859077,0.0,0.0
05/15/22 20:00,2.527,2.36852589738369,0.15847410261631012,0.1584741,0.0,0.0
05/15/22 21:00,1.025,0.8686759114265441,0.1563240885734558,0.15632409,0.0,0.0
05/15/22 22:00,0.58,0.58,0.0,0.0,0.0,0.0
05/15/22 23:00,1.629,1.629,0.0,0.0,0.0,0.0
