datetime,Net_Total,HVAC
04/05/22 0:00,1.299300000000003,1.0329187
04/05/22 1:00,1.227300000000003,1.1131948
04/05/22 2:00,1.4451000000000058,1.2974906
04/05/22 3:00,1.5140999999999913,1.4344229
04/05/22 4:00,1.6454000000000086,1.4854362
04/05/22 5:00,1.875699999999997,1.5585055
04/05/22 6:00,1.8485999999999914,1.6043204
04/05/22 7:00,1.734,1.2893869
04/05/22 8:00,5.059400000000009,1.457937
04/05/22 9:00,2.9056999999999973,0.89548165
04/05/22 10:00,0.868,0.5981719
04/05/22 11:00,0.657,0.45052406
04/05/22 12:00,0.301,-0.050457057
04/05/22 13:00,0.302,0.018897817
04/05/22 14:00,0.301,0.05969569
04/05/22 15:00,0.301,-0.01253738
04/05/22 16:00,0.873,0.03445356
04/05/22 17:00,1.054,-0.06813872
04/05/22 18:00,2.236,-0.04267123
04/05/22 19:00,3.422,0.0977712
04/05/22 20:00,0.451,-0.06825373
04/05/22 21:00,0.452,0.13299796
04/05/22 22:00,0.301,0.09117233
04/05/22 23:00,0.301,0.094059125
