datetime,Net_Total,HVAC
02/08/22 0:00,1.962,1.7412429
02/08/22 1:00,1.933,1.8217415
02/08/22 2:00,1.749,1.6132736
02/08/22 3:00,2.151,1.9165034
02/08/22 4:00,2.015,1.8034283
02/08/22 5:00,1.874,1.6651222
02/08/22 6:00,1.876,1.6440448
02/08/22 7:00,2.01,1.6297661
02/08/22 8:00,5.091,1.4676601
02/08/22 9:00,3.505,1.7064911
02/08/22 10:00,1.577,1.168769
02/08/22 11:00,1.487,1.1598084
02/08/22 12:00,1.102,0.7350963
02/08/22 13:00,0.924,0.71497184
02/08/22 14:00,0.687,0.4311018
02/08/22 15:00,0.663,0.35586137
02/08/22 16:00,1.47,0.5483571
02/08/22 17:00,1.703,0.71910065
02/08/22 18:00,3.358,1.0808835
02/08/22 19:00,4.792,1.3649795
02/08/22 20:00,1.655,1.2573425
02/08/22 21:00,1.727,1.2730072
02/08/22 22:00,1.756,1.5510758
02/08/22 23:00,1.625,1.302352
