datetime,Net_Total,HVAC
09/08/22 0:00,1.5216999999999972,0.5241646
09/08/22 1:00,1.069899999999994,0.95030445
09/08/22 2:00,1.4142000000000117,1.199069
09/08/22 3:00,1.227,0.92662835
09/08/22 4:00,1.6078999999999941,1.0758374
09/08/22 5:00,1.6706999999999972,0.95955217
09/08/22 6:00,1.6616000000000057,1.2798575
09/08/22 7:00,4.400899999999994,1.0381147
09/08/22 8:00,2.3926000000000056,0.83880365
09/08/22 9:00,2.057,0.6107039
09/08/22 10:00,1.426,0.5548373
09/08/22 11:00,0.8758000000000029,0.07744907
09/08/22 12:00,0.9147999999999884,-0.026222691
09/08/22 13:00,1.0874000000000088,-0.011823649
09/08/22 14:00,1.0885999999999914,0.011167504
09/08/22 15:00,1.0886000000000058,0.041063372
09/08/22 16:00,1.0886000000000058,0.03921832
09/08/22 17:00,1.0886999999999971,0.09940217
09/08/22 18:00,0.4398000000000029,-0.0046970844
09/08/22 19:00,3.959899999999994,-0.1522628
09/08/22 20:00,4.127,0.010309935
09/08/22 21:00,0.66,-0.009444434
09/08/22 22:00,0.44,-0.034045413
09/08/22 23:00,1.49,-0.035949253
