datetime,Net_Total,HVAC
09/08/22 0:00,2.2775,2.070209
09/08/22 1:00,3.428100000000006,3.1715796
09/08/22 2:00,4.036699999999997,3.4659972
09/08/22 3:00,3.513,3.353596
09/08/22 4:00,4.627,4.171563
09/08/22 5:00,4.762,4.4974937
09/08/22 6:00,7.877,3.7141392
09/08/22 7:00,7.805,3.9503226
09/08/22 8:00,3.87,2.958314
09/08/22 9:00,3.701,2.8532333
09/08/22 10:00,1.556,1.0346836
09/08/22 11:00,1.269,0.7152558
09/08/22 12:00,0.739,-0.029465547
09/08/22 13:00,0.412,-0.004179408
09/08/22 14:00,0.739,-0.0060651824
09/08/22 15:00,0.412,0.12697548
09/08/22 16:00,0.739,0.21271214
09/08/22 17:00,0.416,0.022617783
09/08/22 18:00,2.315,-0.101833165
09/08/22 19:00,0.619,0.028095879
09/08/22 20:00,0.619,0.060629696
09/08/22 21:00,0.618,-0.0026836246
09/08/22 22:00,0.413,-0.05536059
09/08/22 23:00,0.412,0.04765153
