datetime,Net_Total,HVAC
02/08/22 0:00,5.294,5.9605002
02/08/22 1:00,6.674,5.451339
02/08/22 2:00,5.892,6.0283875
02/08/22 3:00,6.747,6.59417
02/08/22 4:00,5.346,5.605388
02/08/22 5:00,6.44,5.7502613
02/08/22 6:00,8.88,6.203322
02/08/22 7:00,9.133,5.969079
02/08/22 8:00,5.669,5.7640886
02/08/22 9:00,5.888,5.0431795
02/08/22 10:00,4.67,4.2435718
02/08/22 11:00,4.319,3.3430662
02/08/22 12:00,3.319,2.375446
02/08/22 13:00,2.395,1.7039268
02/08/22 14:00,1.983,1.1174532
02/08/22 15:00,1.586,1.0834631
02/08/22 16:00,2.169,0.9641031
02/08/22 17:00,3.269,2.4768488
02/08/22 18:00,5.491,3.1310358
02/08/22 19:00,4.698,3.6422849
02/08/22 20:00,5.009,4.76625
02/08/22 21:00,4.866,4.2710447
02/08/22 22:00,5.034,4.9949527
02/08/22 23:00,5.163,5.154575
